-43, -216
-44, -216
-45, -216
-46, -216
-46, -217
-46, -218
-47, -218
-48, -218
-48, -219
-47, -219
-46, -219
-45, -219
-44, -219
-45, -219
-46, -219
-47, -219
-47, -218
-48, -218
-48, -217
-49, -217
-49, -216
-49, -215
-49, -214
-48, -214
-48, -213
-47, -213
-46, -213
-45, -213
-44, -213
-43, -212
-42, -212
-42, -211
-41, -211
-40, -211
-39, -211
-38, -211
-38, -210
-37, -210
-36, -210
-35, -210
-34, -210
-33, -210
-32, -210
-31, -210
-30, -210
-29, -210
-28, -210
-27, -210
-26, -210
-25, -210
-24, -210
-23, -210
-22, -210
-21, -210
-20, -210
-19, -210
-18, -211
-18, -212
-17, -212
-16, -212
-15, -212
-15, -211
-14, -211
-14, -210
-14, -209
-14, -208
-15, -207
-15, -206
-16, -205
-16, -204
-16, -203
-16, -202
-17, -201
-17, -200
-17, -199
-17, -198
-17, -197
-17, -196
-17, -195
-18, -195
-18, -194
-18, -193
-18, -192
-18, -191
-19, -191
-19, -190
-19, -189
-20, -189
-20, -188
-20, -187
-20, -186
-20, -185
-20, -184
-20, -183
-20, -182
-20, -181
-20, -180
-20, -179
-20, -178
-20, -177
-20, -176
-20, -175
-20, -174
-20, -173
-20, -172
-20, -171
-20, -170
-20, -169
-20, -168
-20, -167
-20, -166
-20, -165
-20, -164
-20, -163
-20, -162
-20, -161
-20, -160
-21, -160
-21, -159
-21, -158
-21, -157
-21, -156
-22, -156
-22, -155
-22, -154
-22, -153
-22, -152
-22, -151
-22, -150
-22, -149
-21, -149
-21, -148
-21, -147
-21, -146
-21, -145
-21, -144
-21, -143
-21, -142
-21, -141
-21, -140
-21, -139
-21, -138
-21, -137
-21, -136
-21, -135
-21, -134
-22, -134
-22, -133
-23, -133
-24, -132
-24, -131
-24, -130
-23, -130
-23, -129
-23, -128
-23, -127
-23, -126
-23, -125
-23, -124
-22, -124
-22, -123
-22, -122
-22, -121
-21, -121
-21, -120
-21, -119
-21, -118
-22, -118
-22, -117
-22, -116
-22, -115
-23, -115
-23, -114
-23, -113
-23, -112
-23, -111
-23, -110
-23, -109
-22, -109
-22, -108
-22, -107
-22, -106
-21, -106
-21, -105
-21, -104
-21, -103
-20, -103
-20, -102
-20, -101
-20, -100
-20, -99
-19, -99
-19, -98
-19, -97
-18, -97
-18, -96
-17, -96
-17, -95
-16, -95
-15, -94
-15, -93
-15, -92
-15, -91
-16, -90
-16, -89
-16, -88
-16, -87
-15, -87
-15, -86
-14, -86
-14, -85
-13, -85
-13, -84
-12, -84
-12, -83
-11, -82
-11, -81
-10, -81
-10, -80
-10, -79
-9, -78
-9, -77
-8, -76
-8, -75
-8, -74
-7, -74
-7, -73
-6, -73
-5, -73
-5, -72
-4, -72
-3, -71
-2, -71
-1, -70
0, -70
0, -69
1, -69
1, -68
2, -68
3, -67
3, -66
4, -66
4, -65
5, -64
5, -63
6, -63
6, -62
7, -62
7, -61
8, -61
8, -60
9, -60
10, -59
11, -59
11, -58
12, -58
12, -57
13, -57
14, -56
15, -56
15, -55
16, -55
16, -54
17, -54
18, -53
19, -53
19, -52
20, -52
20, -51
21, -51
21, -50
22, -50
22, -49
23, -49
24, -48
25, -47
26, -47
26, -46
27, -46
28, -46
28, -45
29, -45
30, -45
